offset,url,length,content-type,ext,status,warc_id
13978730,44c77a5e-ba6f-4b82-8646-c0b5e33b3e90.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/derivation1.png,74222,image/png,png,200,44c77a5e-ba6f-4b82-8646-c0b5e33b3e90
14053534,fe27a377-48d1-4cbb-96bd-0b8566399666.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/order_dependency.png,163161,image/png,png,200,fe27a377-48d1-4cbb-96bd-0b8566399666
14217276,4e6bd0d9-59fc-4c31-942d-9e0fbcc7a68e.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/rotationAxisZMatrix.png,19256,image/png,png,200,4e6bd0d9-59fc-4c31-942d-9e0fbcc7a68e
14237110,c49944c8-3fe9-48b1-8c2f-b41e089a2bcb.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/WorldToView.png,109218,image/png,png,200,c49944c8-3fe9-48b1-8c2f-b41e089a2bcb
14346902,860012d7-85da-4809-8abc-a79abbdbae2e.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/ortho1.png,75233,image/png,png,200,860012d7-85da-4809-8abc-a79abbdbae2e
14422712,3477fe99-12fe-4f15-9d2f-d4c4c80a56e9.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/orthoMatrix.png,24504,image/png,png,200,3477fe99-12fe-4f15-9d2f-d4c4c80a56e9
14447795,938267f1-291e-4a9b-9941-11d870bf12dc.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/translationMatrix.png,20002,image/png,png,200,938267f1-291e-4a9b-9941-11d870bf12dc
14468371,922d1bfc-344d-47a6-bb4b-9ad805e3db99.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/persp1.png,61122,image/png,png,200,922d1bfc-344d-47a6-bb4b-9ad805e3db99
14530035,eed982ae-8931-4302-beeb-f5274802aee0.png,https://www.codinglabs.net/public/mixedit/Icon.png,5624,image/png,png,200,eed982ae-8931-4302-beeb-f5274802aee0
14547071,ff0c4e40-ba16-4237-b354-f51db47941cb.gif,https://www.codinglabs.net/public/mixedit/CTRLD-Animation.gif,123104,image/gif,gif,200,ff0c4e40-ba16-4237-b354-f51db47941cb
14670730,80cb3153-80ca-42db-9e24-40e0e4043c29.gif,https://www.codinglabs.net/public/mixedit/MULTICARET-Animation.gif,32747,image/gif,gif,200,80cb3153-80ca-42db-9e24-40e0e4043c29
14704022,8fb9d0b0-996c-45e2-a6a1-0502ebb770b5.png,https://www.codinglabs.net/images/icons/vsix_crate.png,9470,image/png,png,200,8fb9d0b0-996c-45e2-a6a1-0502ebb770b5
14714037,22bc5db4-7924-411f-b139-ff52ae7e12df.gif,https://www.codinglabs.net/public/mixedit/Options.gif,32728,image/gif,gif,200,22bc5db4-7924-411f-b139-ff52ae7e12df
14752410,bfd98f76-aade-4fc8-9b2f-c5c2eefd7655.png,https://www.codinglabs.net/public/contents/article_gamma_vs_linear/images/correctShader.png,11474,image/png,png,200,bfd98f76-aade-4fc8-9b2f-c5c2eefd7655
14764453,86a07354-a304-4b62-9eab-ccdb1cf17034.png,https://www.codinglabs.net/public/contents/article_gamma_vs_linear/images/wrongShader.png,11335,image/png,png,200,86a07354-a304-4b62-9eab-ccdb1cf17034
14776366,3fece600-202a-4880-8980-0e9fe6b8de91.png,https://www.codinglabs.net/public/contents/article_gamma_vs_linear/images/correct_text_shader_diagram.png,20921,image/png,png,200,3fece600-202a-4880-8980-0e9fe6b8de91
14797858,838d8f04-e2c7-4e43-ac10-01070ea442fe.png,https://www.codinglabs.net/public/contents/article_gamma_vs_linear/images/linear_gamma_combinations.png,420499,image/png,png,200,838d8f04-e2c7-4e43-ac10-01070ea442fe
15218923,f5300848-d12e-460e-8406-53ccca4d9de9.png,https://www.codinglabs.net/public/contents/article_gamma_vs_linear/images/lambert.png,23669,image/png,png,200,f5300848-d12e-460e-8406-53ccca4d9de9
15243170,43b0cff0-9b7d-4a9d-806c-c39784458cc4.png,https://www.codinglabs.net/public/contents/article_gamma_vs_linear/images/wrong_text_shader_diagram.png,20593,image/png,png,200,43b0cff0-9b7d-4a9d-806c-c39784458cc4
15264328,1815c65c-c54c-4177-a17a-00a71651afad.png,https://www.codinglabs.net/public/contents/article_gamma_vs_linear/images/gammacurves.png,22082,image/png,png,200,1815c65c-c54c-4177-a17a-00a71651afad
15352635,e65f7b04-e064-4148-a541-b1f15ddbad67.png,https://www.codinglabs.net/images/icons/7z_crate.png,6813,image/png,png,200,e65f7b04-e064-4148-a541-b1f15ddbad67
17198410,e18fb406-cb95-49e9-b128-7be5f4c08504.html,https://www.codinglabs.net/js/images/lightbox/loading.gif,2433,text/html; charset=utf-8,gif,404,e18fb406-cb95-49e9-b128-7be5f4c08504
17201382,733361ae-764d-4701-aee7-f2c38297f666.html,https://www.codinglabs.net/js/images/lightbox/close.png,2435,text/html; charset=utf-8,png,404,733361ae-764d-4701-aee7-f2c38297f666
19498723,d97a8dae-05d6-49d8-bcdc-b7f1898a1ebb.png,https://www.codinglabs.net/public/contents/tutorial_memory_pool/images/chunk.png,29358,image/png,png,200,d97a8dae-05d6-49d8-bcdc-b7f1898a1ebb
19613823,98ec5fd6-6c90-4d07-8b19-9b8f894369e3.png,https://www.codinglabs.net/images/AuthorsPictures/mail.png,2046,image/png,png,200,98ec5fd6-6c90-4d07-8b19-9b8f894369e3
20280989,982d9b46-2c61-44b3-b435-8f0b83d488d8.png,https://www.codinglabs.net/public/contents/article_world_view_projection_matrix/images/WorldSpace.png,80148,image/png,png,200,982d9b46-2c61-44b3-b435-8f0b83d488d8
20364013,2463f3d3-2484-4f50-b0ef-00a2345f45a0.png,https://www.codinglabs.net/public/contents/article_floating_point_numbers/images/float32_ieee754.png,1960,image/png,png,200,2463f3d3-2484-4f50-b0ef-00a2345f45a0
